fpr_layer3,tpr_layer3,fpr_layer4,tpr_layer4,fpr_layer1,tpr_layer1
1.0,1.0,1.0,1.0,1.0,1.0
0.74,1.0,0.735,1.0,0.75,1.0
0.715,1.0,0.68,1.0,0.75,1.0
0.64,1.0,0.42,1.0,0.75,1.0
0.535,1.0,0.175,1.0,0.75,1.0
0.32,1.0,0.04,1.0,0.75,1.0
0.16,1.0,0.015,1.0,0.74,1.0
0.045,1.0,0.0,1.0,0.72,1.0
0.015,1.0,0.0,1.0,0.69,1.0
0.0,0.985,0.0,1.0,0.68,1.0
0.0,0.97,0.0,0.99,0.66,1.0
0.0,0.92,0.0,0.98,0.65,1.0
0.0,0.865,0.0,0.955,0.63,1.0
0.0,0.8,0.0,0.89,0.61,1.0
0.0,0.74,0.0,0.795,0.545,1.0
0.0,0.695,0.0,0.665,0.5,1.0
0.0,0.695,0.0,0.545,0.425,1.0
0.0,0.695,0.0,0.45,0.31,1.0
0.0,0.695,0.0,0.385,0.245,1.0
0.0,0.695,0.0,0.36,0.155,1.0
0.0,0.695,0.0,0.35,0.12,1.0
0.0,0.695,0.0,0.345,0.065,1.0
0.0,0.695,0.0,0.345,0.055,1.0
0.0,0.695,0.0,0.345,0.025,1.0
0.0,0.695,0.0,0.345,0.01,0.99
0.0,0.695,0.0,0.345,0.005,0.99
0.0,0.695,0.0,0.345,0.0,0.99
0.0,0.695,0.0,0.345,0.0,0.99
0.0,0.695,0.0,0.345,0.0,0.99
0.0,0.695,0.0,0.345,0.0,0.985
0.0,0.695,0.0,0.345,0.0,0.985
0.0,0.695,0.0,0.345,0.0,0.97
0.0,0.695,0.0,0.345,0.0,0.935
0.0,0.695,0.0,0.345,0.0,0.91
0.0,0.695,0.0,0.345,0.0,0.88
0.0,0.695,0.0,0.345,0.0,0.845
0.0,0.695,0.0,0.345,0.0,0.82
0.0,0.695,0.0,0.345,0.0,0.785
0.0,0.695,0.0,0.345,0.0,0.76
0.0,0.695,0.0,0.345,0.0,0.73
0.0,0.695,0.0,0.345,0.0,0.72
0.0,0.695,0.0,0.345,0.0,0.715
0.0,0.695,0.0,0.345,0.0,0.685
0.0,0.695,0.0,0.345,0.0,0.68
0.0,0.695,0.0,0.345,0.0,0.67
0.0,0.695,0.0,0.345,0.0,0.66
0.0,0.695,0.0,0.345,0.0,0.66
0.0,0.695,0.0,0.345,0.0,0.66
0.0,0.695,0.0,0.345,0.0,0.66
0.0,0.695,0.0,0.345,0.0,0.655
0.0,0.695,0.0,0.345,0.0,0.655
0.0,0.695,0.0,0.345,0.0,0.655
0.0,0.695,0.0,0.345,0.0,0.655
0.0,0.695,0.0,0.345,0.0,0.655
0.0,0.695,0.0,0.345,0.0,0.655
0.0,0.695,0.0,0.345,0.0,0.655
0.0,0.695,0.0,0.345,0.0,0.655
0.0,0.695,0.0,0.345,0.0,0.655
0.0,0.695,0.0,0.345,0.0,0.655
0.0,0.695,0.0,0.345,0.0,0.655
0.0,0.695,0.0,0.345,0.0,0.655
0.0,0.695,0.0,0.345,0.0,0.655
0.0,0.695,0.0,0.345,0.0,0.655
0.0,0.695,0.0,0.345,0.0,0.655
0.0,0.695,0.0,0.345,0.0,0.655
0.0,0.695,0.0,0.345,0.0,0.655
0.0,0.695,0.0,0.345,0.0,0.655
0.0,0.695,0.0,0.345,0.0,0.655
0.0,0.695,0.0,0.345,0.0,0.655
0.0,0.695,0.0,0.345,0.0,0.655
0.0,0.695,0.0,0.345,0.0,0.655
0.0,0.695,0.0,0.345,0.0,0.655
0.0,0.695,0.0,0.345,0.0,0.655
0.0,0.695,0.0,0.345,0.0,0.655
0.0,0.695,0.0,0.345,0.0,0.655
0.0,0.695,0.0,0.345,0.0,0.655
0.0,0.695,0.0,0.345,0.0,0.655
0.0,0.695,0.0,0.345,0.0,0.655
0.0,0.695,0.0,0.345,0.0,0.655
0.0,0.695,0.0,0.345,0.0,0.655
0.0,0.695,0.0,0.345,0.0,0.655
0.0,0.695,0.0,0.345,0.0,0.655
0.0,0.695,0.0,0.345,0.0,0.655
0.0,0.695,0.0,0.345,0.0,0.655
0.0,0.695,0.0,0.345,0.0,0.655
0.0,0.695,0.0,0.345,0.0,0.655
0.0,0.695,0.0,0.345,0.0,0.655
0.0,0.695,0.0,0.345,0.0,0.655
0.0,0.695,0.0,0.345,0.0,0.655
0.0,0.695,0.0,0.345,0.0,0.655
0.0,0.695,0.0,0.345,0.0,0.655
0.0,0.695,0.0,0.345,0.0,0.655
0.0,0.695,0.0,0.345,0.0,0.655
0.0,0.695,0.0,0.345,0.0,0.655
0.0,0.695,0.0,0.345,0.0,0.655
0.0,0.695,0.0,0.345,0.0,0.655
0.0,0.695,0.0,0.345,0.0,0.655
0.0,0.695,0.0,0.345,0.0,0.655
0.0,0.695,0.0,0.345,0.0,0.655
0.0,0.695,0.0,0.345,0.0,0.655
0.0,0.0,0.0,0.0,0.0,0.0
