layer,n_clusters,n_neighbors,clean_accuracy,attacked_accuracy
layer1,10,3,0.8109452736318408,0.7661691542288557
layer1,10,5,0.8109452736318408,0.7412935323383084
layer1,10,7,0.7960199004975125,0.7263681592039801
layer1,10,9,0.7611940298507462,0.7164179104477612
layer1,15,3,0.8308457711442786,0.746268656716418
layer1,15,5,0.7910447761194029,0.7412935323383084
layer1,15,7,0.8109452736318408,0.7164179104477612
layer1,15,9,0.8109452736318408,0.7213930348258707
layer1,20,3,0.8208955223880597,0.7313432835820896
layer1,20,5,0.7661691542288557,0.7412935323383084
layer1,20,7,0.7910447761194029,0.7213930348258707
layer1,20,9,0.8009950248756219,0.7213930348258707
layer1,25,3,0.8258706467661692,0.7263681592039801
layer1,25,5,0.8159203980099502,0.7611940298507462
layer1,25,7,0.7860696517412935,0.7263681592039801
layer1,25,9,0.7910447761194029,0.7164179104477612
layer2,10,3,0.8706467661691543,0.7761194029850746
layer2,10,5,0.8407960199004975,0.7761194029850746
layer2,10,7,0.8258706467661692,0.7512437810945274
layer2,10,9,0.8258706467661692,0.7512437810945274
layer2,15,3,0.900497512437811,0.7711442786069652
layer2,15,5,0.8756218905472637,0.8009950248756219
layer2,15,7,0.8756218905472637,0.7711442786069652
layer2,15,9,0.8606965174129353,0.7910447761194029
layer2,20,3,0.900497512437811,0.8159203980099502
layer2,20,5,0.8805970149253731,0.7910447761194029
layer2,20,7,0.8955223880597015,0.7960199004975125
layer2,20,9,0.8805970149253731,0.7810945273631841
layer2,25,3,0.900497512437811,0.8208955223880597
layer2,25,5,0.8855721393034826,0.8009950248756219
layer2,25,7,0.8905472636815921,0.8009950248756219
layer2,25,9,0.900497512437811,0.8109452736318408
layer3,10,3,0.9701492537313433,0.8507462686567164
layer3,10,5,0.945273631840796,0.835820895522388
layer3,10,7,0.945273631840796,0.7960199004975125
layer3,10,9,0.9402985074626866,0.7960199004975125
layer3,15,3,0.9552238805970149,0.8606965174129353
layer3,15,5,0.9502487562189055,0.8308457711442786
layer3,15,7,0.9502487562189055,0.8208955223880597
layer3,15,9,0.945273631840796,0.7960199004975125
layer3,20,3,0.9651741293532339,0.8557213930348259
layer3,20,5,0.9502487562189055,0.8407960199004975
layer3,20,7,0.9552238805970149,0.8407960199004975
layer3,20,9,0.9552238805970149,0.8208955223880597
layer3,25,3,0.9800995024875622,0.8557213930348259
layer3,25,5,0.9651741293532339,0.8507462686567164
layer3,25,7,0.9552238805970149,0.835820895522388
layer3,25,9,0.9552238805970149,0.8407960199004975
layer4,10,3,0.9850746268656716,0.6517412935323383
layer4,10,5,0.9800995024875622,0.7213930348258707
layer4,10,7,0.9800995024875622,0.746268656716418
layer4,10,9,0.9751243781094527,0.7313432835820896
layer4,15,3,0.9850746268656716,0.736318407960199
layer4,15,5,0.9850746268656716,0.7661691542288557
layer4,15,7,0.9800995024875622,0.746268656716418
layer4,15,9,0.9800995024875622,0.7263681592039801
layer4,20,3,0.9800995024875622,0.6965174129353234
layer4,20,5,0.9850746268656716,0.6716417910447762
layer4,20,7,0.9850746268656716,0.7213930348258707
layer4,20,9,0.9850746268656716,0.7263681592039801
layer4,25,3,0.9800995024875622,0.7064676616915423
layer4,25,5,0.9850746268656716,0.7064676616915423
layer4,25,7,0.9850746268656716,0.7014925373134329
layer4,25,9,0.9751243781094527,0.7164179104477612
